dayTveg	Tvplot1_top	a
258.139	13.6663	13.6663
258.146	13.55	
258.153	13.6525	
258.16	13.6425	13.6425
258.167	13.6063	
258.174	13.5975	
258.181	13.38	13.38
258.188	13.46	
258.194	13.4063	
258.201	13.1363	13.1363
258.208	13.3013	
258.215	13.2163	
258.222	13.0688	13.0688
258.229	13.1538	
258.236	13.2075	
258.243	12.9775	12.9775
258.25	12.8338	
258.257	12.825	
258.264	12.7788	12.7788
258.271	12.6188	
258.278	12.5438	
258.285	12.5925	12.5925
258.292	12.7188	
258.299	12.7638	
258.306	12.6338	12.6338
258.313	12.68	
258.319	12.805	
258.326	12.9725	12.9725
258.333	13.1513	
258.34	13.365	
258.347	13.5163	13.5163
258.354	13.6963	
258.361	13.9413	
258.368	14.2613	14.2613
258.375	14.1588	
258.382	14.245	
258.389	14.195	14.195
258.396	14.2863	
258.403	14.4475	
258.41	14.3775	14.3775
258.417	14.6538	
258.424	14.9388	
258.431	15.1025	15.1025
258.438	15.3225	
258.444	15.41	
258.451	14.825	14.825
258.458	15.7325	
258.465	15.9288	
258.472	15.5163	15.5163
258.479	15.2	
258.486	15.3425	
258.493	17.1038	17.1038
258.5	18.035	
258.507	16.3925	
258.514	17.2713	17.2713
258.521	17.0838	
258.528	16.6075	
258.535	16.5513	16.5513
258.542	18.0075	
258.549	16.9475	
258.556	16.635	16.635
258.563	15.8263	
258.569	16.3538	
258.576	17.8513	17.8513
258.583	16.5738	
258.59	17.07	
258.597	17.265	17.265
258.604	16.9738	
258.611	16.415	
258.618	16.4738	16.4738
258.625	17.5713	
258.632	17.835	
258.639	17.2988	17.2988
258.646	17.08	
258.653	18.1763	
258.66	16.7388	16.7388
258.667	16.4013	
258.674	16.2763	
258.681	15.9988	15.9988
258.688	16.3638	
258.694	16.975	
258.701	16.6075	16.6075
258.708	16.2375	
258.715	15.9875	
258.722	15.5625	15.5625
258.729	15.7238	
258.736	16.505	
258.743	16.6838	16.6838
258.75	15.89	
258.757	14.8438	
258.764	14.8988	14.8988
258.771	14.44	
258.778	14.12	
